,Ainu,Japanese,Korean,Buryat,Chukchi,WestGree,Evenk,Even,Koryak,Selkup,Yukagir,Yakut
Ainu,0,,,,,,,,,,,
Japanese,96.7,0,,,,,,,,,,
Korean,99.63,100.54,0,,,,,,,,,
Buryat,97.88,101.78,99.79,0,,,,,,,,
Chukchi,100.93,99.93,97.88,97.66,0,,,,,,,
WestGree,101.45,100.77,99.75,102.17,100.12,0,,,,,,
Evenk,98.8,100.23,94.9,91.57,97.57,97.1,0,,,,,
Even,97.54,100.36,98.81,92.58,95.09,97.65,60.09,0,,,,
Koryak,100.93,101.85,98.06,96.32,58.09,100.06,98.52,95.27,0,,,
Selkup,98.49,98.79,98.91,102.29,100.3,99.09,97.66,97.37,98.57,0,,
Yukagir,102.36,96.72,98.75,101.08,98.46,100.87,100.27,100.05,97.08,97.59,0,
Yakut,100.91,104.37,101.13,95.27,101.29,102.77,100.15,100.09,101.32,98.68,95.61,0